Federal Office of Meteorology and Climatology MeteoSwiss
MeteoSchweiz / MeteoSuisse / MeteoSvizzera / MeteoSwiss

Monthly homogenized values

Station:                  Payerne
Altitude [m asl]:         490 m
Coordinates:              46° 48.7' N / 6° 56.5' E

Reference date of homogenization:
         Temperature:     01.12.2007
         Precipitation:   01.12.2020

Last inhomogeneity provisionally corrected:
         Temperature:     yes
         Precipitation:   no

Units:
         Temperature:     °C
         Precipitation:   mm

Missing values:           NA

Data source:              MeteoSwiss
Creation date:            7.11.2022


Year  Month        Temperature      Precipitation  
1989      9               14.1               18.7  
1989     10                9.9               54.9  
1989     11                2.6               42.1  
1989     12                2.0               74.8  
1990      1               -0.2               33.7  
1990      2                5.6              121.8  
1990      3                6.9               18.6  
1990      4                7.2               81.2  
1990      5               14.5               54.3  
1990      6               15.3              163.4  
1990      7               18.4               49.3  
1990      8               18.8               47.8  
1990      9               13.7               81.0  
1990     10               10.9              111.4  
1990     11                4.5              107.4  
1990     12                0.2               26.5  
1991      1                1.4               40.6  
1991      2               -1.3               18.3  
1991      3                6.9               74.8  
1991      4                7.6               29.4  
1991      5               10.0               52.8  
1991      6               15.3              104.6  
1991      7               19.7              105.9  
1991      8               19.7               14.7  
1991      9               16.4               84.1  
1991     10                8.4               70.9  
1991     11                4.5              107.9  
1991     12               -0.3               45.8  
1992      1               -1.4               15.7  
1992      2                1.7               26.3  
1992      3                6.0               40.3  
1992      4                8.7               94.6  
1992      5               14.6               76.3  
1992      6               15.3              110.7  
1992      7               18.6               94.0  
1992      8               20.6               57.7  
1992      9               14.1               58.4  
1992     10                8.1              135.8  
1992     11                6.6              112.0  
1992     12                0.7               69.2  
1993      1                2.7               15.5  
1993      2               -0.7                8.6  
1993      3                4.4               20.2  
1993      4                9.9               68.6  
1993      5               14.3               68.8  
1993      6               16.8              128.3  
1993      7               17.6               88.6  
1993      8               18.3              106.9  
1993      9               13.3              147.6  
1993     10                8.3              117.5  
1993     11                2.2               12.5  
1993     12                3.9              110.8  
1994      1                2.6               54.6  
1994      2                2.5               35.5  
1994      3                9.1               25.8  
1994      4                7.0               85.1  
1994      5               13.3              144.0  
1994      6               16.7              102.1  
1994      7               20.9               34.9  
1994      8               19.6               96.4  
1994      9               13.7              172.6  
1994     10                9.6               92.7  
1994     11                7.6               36.6  
1994     12                3.8               83.0  
1995      1                0.1              144.9  
1995      2                4.9              107.6  
1995      3                4.0               74.4  
1995      4                9.0               37.2  
1995      5               12.7              149.6  
1995      6               15.0               43.0  
1995      7               20.8               65.9  
1995      8               18.1              148.7  
1995      9               12.1              152.2  
1995     10               12.1                9.5  
1995     11                3.9               29.4  
1995     12                0.4               97.0  
1996      1                0.3               32.1  
1996      2                0.0               44.6  
1996      3                3.4               23.1  
1996      4                9.1               21.6  
1996      5               12.6               89.5  
1996      6               17.1              104.8  
1996      7               17.2              150.2  
1996      8               16.8              162.0  
1996      9               11.0               35.2  
1996     10                9.3               63.3  
1996     11                4.6              106.9  
1996     12                0.3               26.7  
1997      1               -1.7               29.6  
1997      2                4.2               50.2  
1997      3                7.2               11.6  
1997      4                8.3               59.5  
1997      5               13.5               66.1  
1997      6               15.8              233.1  
1997      7               16.8              140.3  
1997      8               19.4               55.6  
1997      9               14.9               78.3  
1997     10                9.0               65.1  
1997     11                4.2               54.2  
1997     12                2.2               84.8  
1998      1                1.5               48.8  
1998      2                2.8               13.5  
1998      3                5.8               30.3  
1998      4                8.1              106.3  
1998      5               14.3               31.8  
1998      6               17.0               46.5  
1998      7               19.4               87.8  
1998      8               18.9               47.2  
1998      9               13.7              122.6  
1998     10               10.2              103.8  
1998     11                2.1               90.2  
1998     12               -0.1               20.6  
1999      1                1.3               29.5  
1999      2                0.1               77.6  
1999      3                5.7               45.1  
1999      4                8.5               95.2  
1999      5               15.3               92.3  
1999      6               15.5              101.3  
1999      7               19.2               77.7  
1999      8               18.3              105.1  
1999      9               16.5              125.8  
1999     10                9.3              116.2  
1999     11                2.4               44.4  
1999     12                2.2               73.2  
2000      1                0.0                4.6  
2000      2                3.7               73.7  
2000      3                6.2               20.2  
2000      4                9.3               71.5  
2000      5               15.1               96.3  
2000      6               17.9               55.8  
2000      7               16.4              161.4  
2000      8               18.8               79.2  
2000      9               15.0               56.4  
2000     10               10.2              120.7  
2000     11                5.5              108.1  
2000     12                3.5               41.9  
2001      1                1.6              127.6  
2001      2                3.1               34.2  
2001      3                7.3              257.3  
2001      4                7.2               85.2  
2001      5               15.3               53.6  
2001      6               15.8              129.9  
2001      7               18.9              113.7  
2001      8               19.3               79.2  
2001      9               12.0               91.9  
2001     10               12.8               65.0  
2001     11                3.0               41.5  
2001     12                0.2               14.8  
2002      1                0.1               28.2  
2002      2                5.4               48.6  
2002      3                6.5               60.6  
2002      4                8.9               26.2  
2002      5               12.3              182.6  
2002      6               19.0               54.9  
2002      7               18.4              103.9  
2002      8               17.4               69.9  
2002      9               13.1               50.2  
2002     10               10.0              129.0  
2002     11                6.3              168.8  
2002     12                3.8               56.3  
2003      1                0.1               38.9  
2003      2               -1.3               11.8  
2003      3                6.9               40.5  
2003      4                9.2               49.1  
2003      5               14.4               49.0  
2003      6               22.2               43.1  
2003      7               20.4               61.8  
2003      8               22.5               79.3  
2003      9               14.4               59.6  
2003     10                6.8              106.1  
2003     11                4.1               57.4  
2003     12                1.0               16.3  
2004      1                1.2              124.2  
2004      2                1.9               23.2  
2004      3                4.0               51.6  
2004      4                9.1               43.8  
2004      5               12.2               37.1  
2004      6               16.6               86.4  
2004      7               18.1               56.8  
2004      8               18.5              128.9  
2004      9               15.1               43.0  
2004     10               11.5              173.6  
2004     11                4.1               12.5  
2004     12                0.7               62.8  
2005      1               -0.3               34.0  
2005      2               -1.2               18.5  
2005      3                5.3               28.2  
2005      4                8.9              123.8  
2005      5               13.6               68.6  
2005      6               18.5               25.4  
2005      7               19.1               56.5  
2005      8               16.8               83.5  
2005      9               15.4               81.6  
2005     10               10.6               77.4  
2005     11                3.8               25.6  
2005     12               -0.5               52.0  
2006      1               -1.5               10.6  
2006      2                0.1               37.7  
2006      3                3.8              132.3  
2006      4                8.9              147.9  
2006      5               13.3              106.6  
2006      6               17.9               34.3  
2006      7               22.5               15.8  
2006      8               15.5              168.5  
2006      9               16.8               67.5  
2006     10               12.4               73.7  
2006     11                6.2               31.8  
2006     12                2.0               67.3  
2007      1                4.3               41.9  
2007      2                4.7               74.3  
2007      3                5.4               75.7  
2007      4               12.8                3.0  
2007      5               14.2              139.4  
2007      6               17.3              160.6  
2007      7               17.8              163.5  
2007      8               17.4              178.5  
2007      9               13.2               43.6  
2007     10                9.3               33.4  
2007     11                2.9               24.7  
2007     12                0.9               66.5  
2008      1                2.6               54.2  
